100,宿迁市,471.56
101,开封市,467.62
102,泰州市,461.86
103,绵阳市,461.39
104,惠州市,459.70
105,常州市,459.20
106,郴州市,458.18
107,凉山州,453.28
108,淄博市,453.06
109,嘉兴市,450.17
110,红河州,450.10
111,宜宾市,447.20
112,扬州市,445.98
113,江门市,444.89
114,吉林市,441.47
115,连云港市,439.39
116,廊坊市,435.88
117,张家口市,434.55
118,赤峰市,434.12
119,衡水市,434.08
120,贵阳市,432.46
121,临汾市,431.66
122,益阳市,431.31
123,许昌市,430.72
124,梅州市,424.01
125,泸州市,421.84
126,太原市,420.16
127,贵港市,411.88
128,宜昌市,405.97
129,喀什地区,397.94
130,滁州市,393.80
131,肇庆市,391.81
132,抚州市,391.23
133,巢湖市,387.30
134,株洲市,385.56
135,娄底市,378.56
136,柳州市,375.87
137,湘潭市,374.86
138,滨州市,374.85
139,枣庄市,372.93
140,吕梁市,372.71
141,宝鸡市,371.67
142,内江市,370.28
143,清远市,369.84
144,资阳市,366.51
145,鞍山市,364.59
146,兰州市,361.62
147,德阳市,361.58
148,濮阳市,359.85
149,焦作市,353.99
150,厦门市,353.13
151,文山州,351.80
152,黔东南州,348.06
153,承德市,347.32
154,百色市,346.68
155,大理州,345.60
156,汉中市,341.62
157,四平市,338.63
158,河池市,336.92
159,榆林市,335.14
160,十堰市,334.08
161,长治市,333.46
162,大同市,331.81
163,恩施州,329.03
164,巴中市,328.38
165,天水市,326.25
166,遂宁市,325.26
167,晋中市,324.94
168,乐山市,323.58
169,黔南州,323.12
170,广安市,320.55
171,蚌埠市,316.40
172,通辽市,313.92
173,锦州市,312.65
174,中山市,312.09
175,镇江市,311.34
176,乌鲁木齐市,311.03
177,铜仁地区,309.24
178,钦州市,307.97
179,忻州市,306.75
180,朝阳市,304.46
181,秦皇岛市,298.76
182,河源市,295.30
183,眉山市,295.05
184,汕尾市,293.57
185,大庆市,290.45
186,湖州市,289.35
187,梧州市,288.22
188,松原市,288.11
189,荆门市,287.37
190,呼和浩特市,286.66
191,六盘水市,285.12
192,韶关市,282.66
193,宁德市,282.20
194,黔西南州,280.59
195,威海市,280.48
196,日照市,280.11
197,牡丹江市,279.87
198,莆田市,277.85
199,铁岭市,271.77
200,定西市,269.86
201,楚雄州,268.40
202,自贡市,267.89
203,潮州市,266.98
204,包头市,265.04
205,南平市,264.55
206,安康市,262.99
207,葫芦岛市,262.35
208,陇南市,256.77
209,龙岩市,255.95
210,佳木斯市,255.21
211,呼伦贝尔市,254.93
212,湘西州,254.78
213,漯河市,254.41
214,普洱市,254.30
215,宣城市,253.30
216,保山市,250.60
217,三明市,250.34
218,广元市,248.41
219,伊犁州,248.26
220,咸宁市,246.26
221,丹东市,244.47
222,临沧市,243.00
223,黄石市,242.93
224,营口市,242.85
225,阳江市,242.18
226,阿克苏地区,237.09
227,云浮市,236.01
228,商洛市,234.17
229,淮南市,233.40
230,通化市,232.52
231,玉溪市,230.40
232,安顺市,229.73
233,晋城市,227.92
234,延边州,227.16
235,芜湖市,226.30
236,三门峡市,223.39
237,庆阳市,221.12
238,西宁市,220.87
239,延安市,218.70
240,随州市,216.22
241,乌兰察布市,214.36
242,抚顺市,213.81
243,衢州市,212.27
244,丽水市,211.70
245,淮北市,211.40
246,来宾市,209.97
247,平凉市,206.80
248,海口市,204.62
249,东营市,203.53
250,白城市,203.31
251,和田地区,201.44
252,崇左市,199.43
253,银川市,199.31
254,贺州市,195.41
255,临夏州,194.67
256,鄂尔多斯市,194.07
257,鸡西市,186.22
258,辽阳市,185.88
259,萍乡市,185.45
260,阜新市,181.93
261,武威市,181.51
262,朔州市,171.49
263,本溪市,170.95
264,白银市,170.88
265,黑河市,167.39
266,巴彦淖尔市,166.99
267,兴安盟,161.33
268,景德镇市,158.75
269,鹤壁市,156.91
270,珠海市,156.02
271,北海市,153.93
272,雅安市,150.73
273,张家界市,147.65
274,双鸭山市,146.26
275,昌吉州,142.86
276,池州市,140.3
277,海东地区,139.68
278,盘锦市,139.25
279,阳泉市,136.85
280,马鞍山市,136.60
281,黄山市,135.90
282,莱芜市,129.85
283,白山市,129.66
284,巴音郭楞州,127.85
285,吴忠市,127.38
286,丽江市,124.50
287,固原市,122.82
288,塔城地区,121.92
289,攀枝花市,121.41
290,德宏州,121.10
291,张掖市,119.95
292,辽源市,117.66
293,伊春市,114.81
294,新余市,113.89
295,版纳州,113.40
296,鹰潭市,112.49
297,舟山市,112.13
298,酒泉市,109.59
299,甘孜州,109.19
300,中卫市,108.08
301,鹤岗市,105.87
302,鄂州市,104.87
303,锡林郭勒盟,102.80
304,七台河市,92.04
305,阿坝州,89.87
306,防城港市,86.69
307,铜川市,83.44
308,石嘴山市,72.55
309,铜陵市,72.40
310,日喀则地区,70.33
311,甘南州,68.91
312,三亚市,68.54
313,济源市,67.57
314,昌都地区,65.75
315,吐鲁番地区,62.27
316,阿勒泰地区,60.33
317,哈密地区,57.24
318,拉萨市,55.94
319,怒江州,53.40
320,乌海市,53.29
321,克孜勒苏州,52.56
322,大兴安岭地区,51.16
323,海西州,48.93
324,金昌市,46.41
325,那曲地区,46.24
326,博尔塔拉州,44.37
327,海南州,44.17
328,迪庆州,40.00
329,克拉玛依市,39.10
330,玉树州,37.84
331,山南地区,32.90
332,海北州,27.33
333,黄南州,25.67
334,嘉峪关市,23.19
335,阿拉善盟,23.13
336,杨凌示范区,20.12
337,林芝地区,19.51
338,果洛州,18.17
339,阿里地区,9.55
